Year,Subject,Sex,Unit measure,Unit multiplier,Observation status,Value,Units
2017,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,74
2017,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,71
2017,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,77
2017,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,75
2017,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,74
2017,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,76
2018,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,76
2018,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,72
2018,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,80
2018,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,76
2018,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,76
2018,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,77
2019,Key Stage 1 (%),Reading,,Percentage (%),Units,Undefined,75
2019,Key Stage 1 (%),Reading,Boys,Percentage (%),Units,Undefined,72
2019,Key Stage 1 (%),Reading,Girls,Percentage (%),Units,Undefined,78
2019,Key Stage 1 (%),Maths,,Percentage (%),Units,Undefined,76
2019,Key Stage 1 (%),Maths,Boys,Percentage (%),Units,Undefined,74
2019,Key Stage 1 (%),Maths,Girls,Percentage (%),Units,Undefined,77
2017,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,72
2017,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,70
2017,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,76
2017,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,79
2017,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,78
2017,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,79
2018,Key Stage 2 (%),Reading,,Percentage (%),Units,Undefined,78
2018,Key Stage 2 (%),Reading,Boys,Percentage (%),Units,Undefined,76
2018,Key Stage 2 (%),Reading,Girls,Percentage (%),Units,Undefined,81
2018,Key Stage 2 (%),Maths,,Percentage (%),Units,Undefined,80
2018,Key Stage 2 (%),Maths,Boys,Percentage (%),Units,Undefined,79
2018,Key Stage 2 (%),Maths,Girls,Percentage (%),Units,Undefined,82
